total,backtracking_count,backtracking_rate,correct_count,accuracy,subset_name,num_components
480,304,0.6333333333333333,6,0.0125,baseline,0
480,136,0.2833333333333333,7,0.014583333333333334,mlp_27_only,1
480,420,0.875,5,0.010416666666666666,attn_27_only,1
480,477,0.99375,5,0.010416666666666666,attn_no_early,4
480,47,0.09791666666666667,6,0.0125,mlp_late_cluster,6
480,8,0.016666666666666666,7,0.014583333333333334,phase1_full,12
